"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.03281876562882e-31,-0.106481190748488,0.809,0.85,5.49910698583817e-27,"A-A07","WDR77"
6.94153378982812e-31,-0.170797549236708,0.389,0.454,1.25863890677164e-26,"A-A07","SELENOT"
6.34043960407428e-30,-0.131094915336694,0.664,0.726,1.14964850901075e-25,"A-A07","NDUFC1"
1.35769371475751e-29,-0.403872275024715,0.08,0.114,2.46177024359832e-25,"A-A07","MT-ND4L"
1.36136040467736e-29,-0.113872693237485,0.72,0.772,2.46841868576098e-25,"A-A07","SSR1"
1.71130878402486e-29,-0.242509956836086,0.206,0.256,3.10294508719388e-25,"A-A07","UBE2V2"
1.79874356321144e-29,-0.218340971720683,0.196,0.246,3.26148182881498e-25,"A-A07","GTF3C4"
2.33820289967545e-29,-0.122809268304173,0.631,0.694,4.23962949769153e-25,"A-A07","SLC39A1"
5.74536503953324e-29,-0.141149532822136,0.591,0.655,1.04174958896817e-24,"A-A07","LOXL3"
6.3433349742312e-29,-0.174655644659514,0.376,0.437,1.1501734975276e-24,"A-A07","LMF2"
9.41984377306443e-29,-0.112707697664283,0.764,0.813,1.70800607293204e-24,"A-A07","IFITM3"
1.74309473788339e-28,-0.109187210689052,0.722,0.778,3.16057937873017e-24,"A-A07","ARF1"
1.74651723691965e-28,-0.120176456719267,0.641,0.705,3.16678505398271e-24,"A-A07","GPS1"
3.63554301774883e-28,-0.161264512928489,0.339,0.399,6.59196659978218e-24,"A-A07","GARS1"
1.06584243559364e-27,-0.0684966374442961,0.995,0.996,1.93258550421839e-23,"A-A07","CD74"
1.1692523533507e-27,-0.161213032317356,0.296,0.351,2.12008836709549e-23,"A-A07","PGAM1"
1.76094801177504e-27,-0.200679196945142,0.191,0.238,3.19295093495051e-23,"A-A07","REXO1"
4.05339330332358e-27,-0.349148729412962,0.105,0.141,7.34961273758631e-23,"A-A07","ZDHHC24"
7.70841677886647e-27,-0.157622260551022,0.472,0.534,1.39769013034407e-22,"A-A07","RAP2B"
7.84659923319537e-27,-0.157898430874779,0.316,0.374,1.42274537296298e-22,"A-A07","SNRPF"
9.15144291705051e-27,-0.318019370465024,0.106,0.142,1.6593396297196e-22,"A-A07","SNX18"
1.08425385056223e-26,-0.0936537709709298,0.806,0.847,1.96596908183944e-22,"A-A07","AURKAIP1"
1.24283057123571e-26,-0.175698610402524,0.306,0.362,2.25350039176459e-22,"A-A07","SYNCRIP"
1.39712055127027e-26,-0.102454674651539,0.837,0.877,2.53325898356326e-22,"A-A07","PSMC4"
2.74277926801531e-26,-0.0720771389021748,0.951,0.968,4.97320736876537e-22,"A-A07","PLOD3"
4.79348052901231e-26,-0.113041483426931,0.485,0.55,8.69153889520513e-22,"A-A07","EXT2"
6.01095381482922e-26,-0.103470788846357,0.706,0.761,1.08990614570483e-21,"A-A07","SAE1"
8.70656750640491e-26,-0.191628778605183,0.21,0.257,1.57867482026134e-21,"A-A07","WBP1"
1.60965854200765e-25,-0.192361337890616,0.219,0.267,2.91863286836827e-21,"A-A07","PRMT5"
2.58829226507051e-25,-0.0930465218552068,0.834,0.872,4.69309153502585e-21,"A-A07","NCSTN"
2.82329381620532e-25,-0.127392717958166,0.465,0.53,5.11919634754349e-21,"A-A07","WBP2"
3.55921058163535e-25,-0.0984861863311119,0.773,0.816,6.45356062662123e-21,"A-A07","APH1A"
5.02851728864035e-25,-0.118391958548983,0.496,0.561,9.11770754776269e-21,"A-A07","CLTA"
5.41814876389416e-25,-0.213573634362437,0.373,0.421,9.82418733869289e-21,"A-A07","UBE2C"
8.26169985598647e-25,-0.149294656233732,0.377,0.435,1.49801141788747e-20,"A-A07","PDIA4"
8.65491662134741e-25,-0.123469477322502,0.557,0.618,1.56930948178271e-20,"A-A07","ACOT7"
1.1530026528166e-24,-0.120379466190315,0.528,0.591,2.09062441008707e-20,"A-A07","ACTR2"
1.65988006056478e-24,-0.169644480904397,0.244,0.294,3.00969452581606e-20,"A-A07","TCF20"
2.10663319387807e-24,-0.0718028075497017,0.97,0.976,3.81974730713972e-20,"A-A07","CD63"
2.65348793149839e-24,-0.133259210765643,0.361,0.419,4.81130431739288e-20,"A-A07","FAM3A"
3.2355464183638e-24,-0.119558030190657,0.645,0.701,5.86669276577724e-20,"A-A07","PYCR1"
4.48941778614552e-24,-0.0997196808820906,0.726,0.775,8.14021232983906e-20,"A-A07","DTYMK"
9.19242973390033e-24,-0.0938324408039857,0.81,0.851,1.66677135935081e-19,"A-A07","TRIM28"
9.96424939205199e-24,-0.154484506281676,0.366,0.421,1.80671769976687e-19,"A-A07","LRWD1"
1.3339894348998e-23,-0.129584656462378,0.405,0.464,2.41878964336032e-19,"A-A07","PLP2"
1.62187637642573e-23,-0.130927256799476,0.69,0.74,2.94078624573513e-19,"A-A07","MT2A"
1.69659512216464e-23,-0.0929388384753378,0.769,0.814,3.07626627550893e-19,"A-A07","CENPB"
1.8042868698078e-23,-0.181247179507614,0.214,0.26,3.27153295233551e-19,"A-A07","LYPLA1"
3.19442664406968e-23,-0.114335829922165,0.605,0.667,5.79213439102715e-19,"A-A07","RBM14"
3.63082563543835e-23,-0.127486291839789,0.583,0.644,6.58341304217682e-19,"A-A07","GASK1B"
3.98717796825052e-23,-0.276934004998417,0.106,0.139,7.22955109203185e-19,"A-A07","EIF2S2"
8.36692575880514e-23,-0.153279327053403,0.232,0.279,1.51709097858655e-18,"A-A07","NAGLU"
1.25776710510548e-22,-0.116999288802809,0.574,0.633,2.28058331497726e-18,"A-A07","TSPAN4"
1.78577313044264e-22,-0.0970339793594482,0.693,0.748,3.2379638401186e-18,"A-A07","SURF4"
2.28438722260779e-22,-0.0853405318021818,0.915,0.938,4.14205091203245e-18,"A-A07","NBL1"
3.03423594183543e-22,-0.160688632417875,0.272,0.321,5.50167660973599e-18,"A-A07","LYPLA2"
3.65774558031204e-22,-0.134580694860433,0.234,0.282,6.63222428622179e-18,"A-A07","PC"
4.18991441935662e-22,-0.0911279247241017,0.731,0.783,7.59715282517743e-18,"A-A07","TMED3"
